timesteps,episode_reward,episode_length,success
27882,-19.20593711754551,111,1
28082,-60.28481692935649,200,0
28179,-24.492806878859525,97,1
28237,-10.179791267823761,58,1
28437,-52.737816323609,200,0
28486,-10.500535234403008,49,1
28686,-60.833119185908444,200,0
28781,-23.18438266883937,95,1
28981,-54.89862292477246,200,0
29181,-90.81410606605773,200,0
29381,-56.95799811214617,200,0
29581,-59.35594213355394,200,0
29781,-56.825308057487405,200,0
29870,-20.766823199507403,89,1
30070,-52.72729964281269,200,0
30195,-25.987243661547236,125,1
30395,-53.73206283492899,200,0
30595,-49.09450503656629,200,0
30795,-54.41946086626247,200,0
30869,-18.783263326157957,74,1
30973,-23.17650733510722,104,1
31086,-25.441337526922705,113,1
31115,-5.926387347793588,29,1
31260,-23.15358764239743,145,1
31441,-24.689733580914762,181,1
31597,-20.227101925428883,156,1
31643,-10.599105116601693,46,1
31843,-43.73049880637789,200,0
31902,-13.048195162351497,59,1
32102,-50.69816983451934,200,0
32181,-16.718620211565554,79,1
32283,-19.06520475749891,102,1
32482,-37.66717961283249,199,1
32682,-45.9419337212925,200,0
32882,-38.41406674419371,200,0
32939,-11.014022457375964,57,1
33139,-90.85276416291636,200,0
33264,-19.97841450685933,125,1
33305,-10.76791476689669,41,1
33505,-82.08311175674591,200,0
33705,-75.02671250984415,200,0
33905,-72.03560785164669,200,0
33947,-9.57037771652104,42,1
33981,-10.385122556035187,34,1
34181,-63.7946131804488,200,0
34381,-59.11759613775627,200,0
34581,-43.70924812714611,200,0
34628,-12.652650537778285,47,1
34688,-11.03797728136456,60,1
34768,-16.31984721313853,80,1
34968,-52.83246162948418,200,0
35168,-40.170964746449414,200,0
35205,-9.995187159602136,37,1
35241,-6.591941832221735,36,1
35324,-14.703477052742302,83,1
35376,-11.802514035165585,52,1
35456,-11.98286420839361,80,1
35551,-16.069646635335616,95,1
35637,-19.43323202105298,86,1
35837,-40.9818058953951,200,0
35909,-11.722011293492,72,1
36109,-42.730979426254166,200,0
36204,-17.812163903189628,95,1
36242,-10.022711771124579,38,1
36442,-46.02443734236609,200,0
36488,-13.214227654115657,46,1
36521,-5.870382523481256,33,1
36610,-14.750913656011596,89,1
36640,-6.264465325894882,30,1
36679,-10.72981225214366,39,1
36879,-45.53317375447239,200,0
36920,-12.834134443490157,41,1
37048,-21.709514413829375,128,1
37248,-55.670708656678485,200,0
37284,-9.607385686740871,36,1
37484,-39.56835011032734,200,0
37684,-51.32888333568306,200,0
37720,-8.107696713895686,36,1
37840,-20.908236928840463,120,1
37872,-6.280321077334458,32,1
37908,-8.995775835372365,36,1
38006,-16.826082988673555,98,1
38043,-10.98091422832846,37,1
38113,-12.590332702199719,70,1
38195,-16.424447077111097,82,1
38229,-6.299135866423249,34,1
38302,-13.004870315146546,73,1
38357,-10.28424487043596,55,1
38416,-12.115677779845361,59,1
38520,-18.270325488566833,104,1
38684,-31.994769649220032,164,1
38841,-33.838870395862,157,1
38884,-12.397833865875,43,1
38927,-11.095661799381485,43,1
38967,-11.42002709903924,40,1
39010,-8.753640183725114,43,1
39179,-32.433190481677535,169,1
39239,-13.438380239014347,60,1
39277,-7.1530579632691005,38,1
39309,-6.40656994118558,32,1
39348,-9.812855192729067,39,1
39444,-16.981033573257186,96,1
39504,-12.562387290566214,60,1
39534,-5.994538092404275,30,1
39734,-58.305503526079626,200,0
39783,-8.330877588390306,49,1
39936,-29.09179697931402,153,1
40057,-18.250126928463903,121,1
40096,-7.000022671995879,39,1
40192,-17.67138133342881,96,1
40226,-6.05501359431174,34,1
40260,-8.571006688492306,34,1
40296,-6.681233969335871,36,1
40348,-10.997909110504496,52,1
40386,-10.689554149923769,38,1
40436,-10.99582013588467,50,1
40558,-24.815584192622794,122,1
40589,-5.433687751554116,31,1
40692,-18.773565423839358,103,1
40730,-8.630638889709585,38,1
40775,-11.312037143759014,45,1
40828,-9.714854439253928,53,1
41028,-44.08868383136033,200,0
41065,-9.604814128303852,37,1
41109,-9.204938908700102,44,1
41154,-8.121309316784828,45,1
41189,-7.16762706263059,35,1
41240,-10.429651850493814,51,1
41282,-8.031018668863503,42,1
41326,-9.955096963050714,44,1
41360,-6.959529624911768,34,1
41393,-4.897457428157336,33,1
41438,-10.768077147966723,45,1
41521,-18.052743265250207,83,1
41566,-8.43926866072197,45,1
41603,-9.380813548066632,37,1
41641,-8.854042408640336,38,1
41679,-8.076237056308422,38,1
