epoch,train_loss,val_loss,gap,best_val,lr
0,0.19914077296853067,0.14123824685811998,-0.05790252611041069,0.14123824685811998,9.999383162408304e-05
1,0.12968649826943873,0.10374119430780411,-0.025945303961634622,0.10374119430780411,9.997532801828658e-05
2,0.10015957541763783,0.0814303658902645,-0.018729209527373322,0.0814303658902645,9.994449374809851e-05
3,0.08673889618366956,0.07205950394272805,-0.014679392240941516,0.07205950394272805,9.990133642141359e-05
4,0.08143252581357956,0.06667072921991349,-0.014761796593666068,0.06667072921991349,9.98458666866564e-05
5,0.07490400001406669,0.06426536813378333,-0.010638631880283356,0.06426536813378333,9.9778098230154e-05
6,0.07119797933846712,0.06096326634287834,-0.010234712995588785,0.06096326634287834,9.9698047772759e-05
7,0.06818987093865872,0.05916726216673851,-0.00902260877192021,0.05916726216673851,9.96057350657239e-05
8,0.06619015391916036,0.0571236751973629,-0.009066478721797458,0.0571236751973629,9.950118288582787e-05
9,0.06428327988833189,0.054813320934772494,-0.009469958953559399,0.054813320934772494,9.938441702975689e-05
10,0.06025382895022631,0.05177432373166084,-0.00847950521856547,0.05177432373166084,9.925546630773869e-05
11,0.059218761324882505,0.05030795931816101,-0.008910802006721494,0.05030795931816101,9.911436253643444e-05
12,0.05696778930723667,0.04857116565108299,-0.008396623656153679,0.04857116565108299,9.896114053108829e-05
13,0.05452730134129524,0.04738572612404823,-0.007141575217247009,0.04738572612404823,9.879583809693738e-05
14,0.052269399352371695,0.04553885608911514,-0.006730543263256554,0.04553885608911514,9.861849601988384e-05
15,0.049755639769136904,0.04625525251030922,-0.003500387258827682,0.04553885608911514,9.842915805643157e-05
16,0.0487972442060709,0.04517366364598274,-0.0036235805600881577,0.04517366364598274,9.822787092288992e-05
17,0.04823722466826439,0.042114440351724625,-0.006122784316539766,0.042114440351724625,9.801468428384718e-05
18,0.04623872023075819,0.04031373783946037,-0.005924982391297816,0.04031373783946037,9.778965073991652e-05
19,0.04481597989797592,0.04027605056762695,-0.0045399293303489685,0.04027605056762695,9.75528258147577e-05
20,0.044262079149484636,0.039830620586872104,-0.004431458562612532,0.039830620586872104,9.730426794137729e-05
21,0.04242276437580585,0.0385204054415226,-0.0039023589342832565,0.0385204054415226,9.70440384477113e-05
22,0.04165792837738991,0.039804624021053316,-0.0018533043563365922,0.0385204054415226,9.67722015414934e-05
23,0.040943175088614225,0.03827979490160942,-0.0026633801870048074,0.03827979490160942,9.64888242944126e-05
24,0.0389501916244626,0.03614087477326393,-0.0028093168511986732,0.03614087477326393,9.619397662556436e-05
25,0.03852311884984374,0.03543065190315246,-0.003092466946691276,0.03543065190315246,9.588773128419907e-05
26,0.03957785312086344,0.038270967453718184,-0.0013068856671452564,0.03543065190315246,9.557016383177228e-05
27,0.0378607808612287,0.035124045610427854,-0.0027367352508008494,0.035124045610427854,9.524135262330099e-05
28,0.03747287429869175,0.03505746945738793,-0.002415404841303821,0.03505746945738793,9.49013787880308e-05
29,0.0376842962577939,0.036112820357084276,-0.0015714759007096277,0.03505746945738793,9.455032620941841e-05
30,0.03626459147781134,0.0349177286028862,-0.0013468628749251366,0.0349177286028862,9.418828150443471e-05
31,0.0356193040497601,0.03336120992898941,-0.002258094120770694,0.03336120992898941,9.381533400219321e-05
32,0.035978281311690806,0.03669870719313621,0.0007204258814454065,0.03336120992898941,9.343157572190959e-05
33,0.03573457393795252,0.03382924757897854,-0.0019053263589739813,0.03336120992898941,9.303710135019721e-05
34,0.03465603236109018,0.03259391114115715,-0.00206212121993303,0.03259391114115715,9.263200821770464e-05
35,0.0338419727049768,0.03486979454755783,0.001027821842581031,0.03259391114115715,9.221639627510079e-05
36,0.0341424691490829,0.032927817478775975,-0.0012146516703069252,0.03259391114115715,9.179036806841354e-05
37,0.033000113628804686,0.03350419625639915,0.0005040826275944654,0.03259391114115715,9.135402871372811e-05
38,0.03368982831016183,0.031714416667819025,-0.0019754116423428073,0.031714416667819025,9.09074858712512e-05
39,0.03271424518898129,0.03291532546281815,0.00020108027383685528,0.031714416667819025,9.04508497187474e-05
40,0.032267311681061984,0.031903309747576714,-0.00036400193348527093,0.031714416667819025,8.998423292435457e-05
41,0.03280486054718494,0.03241845406591892,-0.00038640648126601895,0.031714416667819025,8.950775061878454e-05
42,0.03179308334365487,0.03236997351050377,0.0005768901668488993,0.031714416667819025,8.902152036691652e-05
43,0.032521205861121415,0.03054126612842083,-0.0019799397327005842,0.03054126612842083,8.85256621387895e-05
44,0.031114448700100182,0.030815326422452927,-0.00029912227764725477,0.03054126612842083,8.80202982800016e-05
45,0.03153456691652536,0.030178799480199813,-0.0013557674363255494,0.030178799480199813,8.750555348152302e-05
46,0.030199227668344975,0.03087216950953007,0.0006729418411850936,0.030178799480199813,8.698155474893052e-05
47,0.03001004410907626,0.030080096051096916,7.005194202065398e-05,0.030080096051096916,8.644843137107061e-05
48,0.029834025260061025,0.030947498604655267,0.0011134733445942423,0.030080096051096916,8.590631488815948e-05
49,0.030869621597230435,0.034947946667671204,0.0040783250704407685,0.030080096051096916,8.53553390593274e-05
50,0.030947355180978776,0.029530514404177664,-0.001416840776801112,0.029530514404177664,8.479563982961574e-05
51,0.02930141007527709,0.029370059818029405,6.8649742752315e-05,0.029370059818029405,8.422735529643446e-05
52,0.02864123536273837,0.02996770106256008,0.00132646569982171,0.029370059818029405,8.365062567548869e-05
53,0.029166786838322876,0.028586405888199808,-0.0005803809501230689,0.028586405888199808,8.306559326618262e-05
54,0.029220995493233204,0.029271042719483376,5.0047226250172355e-05,0.028586405888199808,8.24724024165092e-05
55,0.029041851591318845,0.029414092004299165,0.00037224041298031946,0.028586405888199808,8.187119948743451e-05
56,0.027573566138744354,0.02968935966491699,0.002115793526172638,0.028586405888199808,8.126213281678529e-05
57,0.02806360386312008,0.02924860641360283,0.0011850025504827506,0.028586405888199808,8.064535268264886e-05
58,0.02794765792787075,0.03044220507144928,0.0024945471435785307,0.028586405888199808,8.002101126629424e-05
59,0.027235419116914274,0.028469662368297576,0.0012342432513833025,0.028469662368297576,7.93892626146237e-05
60,0.026826765015721322,0.029238451272249222,0.0024116862565278993,0.028469662368297576,7.875026260216396e-05
61,0.02644345685839653,0.02939746156334877,0.0029540047049522386,0.028469662368297576,7.810416889260657e-05
62,0.02659284146502614,0.028626346960663795,0.002033505495637654,0.028469662368297576,7.745114089990662e-05
63,0.02700920756906271,0.028529472649097443,0.0015202650800347321,0.028469662368297576,7.679133974894986e-05
64,0.026204877905547617,0.028298282250761985,0.0020934043452143676,0.028298282250761985,7.612492823579748e-05
65,0.026034967135638,0.028091606497764588,0.002056639362126588,0.028091606497764588,7.54520707875186e-05
66,0.025783735513687133,0.026952973753213882,0.0011692382395267487,0.026952973753213882,7.477293342162041e-05
67,0.025674671214073897,0.028559530898928643,0.002884859684854746,0.026952973753213882,7.408768370508579e-05
68,0.025577155128121375,0.026834339648485184,0.001257184520363809,0.026834339648485184,7.339649071302871e-05
69,0.025489495880901814,0.027873882651329042,0.0023843867704272277,0.026834339648485184,7.269952498697738e-05
70,0.0257250496186316,0.027847424522042273,0.0021223749034106724,0.026834339648485184,7.199695849279579e-05
71,0.02610157411545515,0.02719021700322628,0.0010886428877711282,0.026834339648485184,7.128896457825367e-05
72,0.02562129180878401,0.02738361954689026,0.0017623277381062508,0.026834339648485184,7.057571793025548e-05
73,0.025113390665501355,0.0275058563798666,0.002392465714365244,0.026834339648485184,6.985739453173907e-05
74,0.025254303216934205,0.02654201127588749,0.0012877080589532852,0.02654201127588749,6.913417161825454e-05
75,0.024095353949815036,0.027152706310153006,0.0030573523603379706,0.02654201127588749,6.840622763423395e-05
76,0.025065072812139988,0.027644336223602295,0.002579263411462307,0.02654201127588749,6.76737421889629e-05
77,0.024308760557323693,0.027435488253831863,0.00312672769650817,0.02654201127588749,6.693689601226463e-05
78,0.023933300655335187,0.028775620460510253,0.004842319805175067,0.02654201127588749,6.619587090990752e-05
79,0.02423288393765688,0.027027154341340065,0.0027942704036831856,0.02654201127588749,6.545084971874741e-05
80,0.023158626165241003,0.027047164738178253,0.00388853857293725,0.02654201127588749,6.470201626161524e-05
81,0.023166006803512572,0.02756434604525566,0.0043983392417430885,0.02654201127588749,6.394955530196151e-05
82,0.02393338708207011,0.02663700729608536,0.002703620214015247,0.02654201127588749,6.319365249826868e-05
83,0.023108667694032192,0.026176363974809647,0.003067696280777455,0.026176363974809647,6.243449435824277e-05
84,0.02409073933959007,0.02548691928386688,0.0013961799442768104,0.02548691928386688,6.167226819279531e-05
85,0.02311007780954242,0.026308253407478333,0.0031981755979359136,0.02548691928386688,6.0907162069827175e-05
86,0.023249591886997222,0.025663597881793974,0.0024140059947967522,0.02548691928386688,6.0139364767825674e-05
87,0.022995916102081536,0.02630595490336418,0.0033100388012826457,0.02548691928386688,5.9369065729286285e-05
88,0.02286723079159856,0.025508390739560127,0.0026411599479615674,0.02548691928386688,5.859645501397051e-05
89,0.022766747465357184,0.026996278017759324,0.00422953055240214,0.02548691928386688,5.7821723252011586e-05
90,0.022287884494289756,0.028776784241199494,0.006488899746909738,0.02548691928386688,5.704506159687918e-05
91,0.021672124788165093,0.026172226294875145,0.004500101506710052,0.02548691928386688,5.6266661678215264e-05
92,0.02189168594777584,0.02758563831448555,0.00569395236670971,0.02548691928386688,5.548671555455231e-05
93,0.02239716798067093,0.02646908797323704,0.004071919992566109,0.02548691928386688,5.470541566592576e-05
94,0.02178262695670128,0.025418767333030702,0.003636140376329422,0.025418767333030702,5.392295478639229e-05
95,0.021570431580767036,0.025627992302179336,0.0040575607214123,0.025418767333030702,5.313952597646572e-05
96,0.021821873914450406,0.024898181110620497,0.003076307196170091,0.024898181110620497,5.235532253548217e-05
97,0.02157032219693065,0.025524289160966874,0.003953966964036226,0.024898181110620497,5.1570537953906453e-05
98,0.02198236808180809,0.025113211199641227,0.003130843117833137,0.024898181110620497,5.0785365865591074e-05
99,0.021556024067103864,0.026532892510294913,0.004976868443191049,0.024898181110620497,5.0000000000000036e-05
100,0.02225912529975176,0.026134143024682997,0.003875017724931238,0.024898181110620497,4.921463413440901e-05
101,0.021156858932226897,0.02615128941833973,0.004994430486112832,0.024898181110620497,4.842946204609362e-05
102,0.021044689742848278,0.024955983459949493,0.003911293717101215,0.024898181110620497,4.76446774645179e-05
103,0.02116752406582236,0.025196408107876777,0.0040288840420544154,0.024898181110620497,4.686047402353436e-05
104,0.02121867169626057,0.02489223815500736,0.00367356645874679,0.02489223815500736,4.6077045213607793e-05
105,0.021563718747347593,0.02471264936029911,0.003148930612951517,0.02471264936029911,4.5294584334074315e-05
106,0.02084973147138953,0.024397628381848335,0.003547896910458804,0.024397628381848335,4.451328444544777e-05
107,0.021077439095824956,0.02557511404156685,0.004497674945741895,0.024397628381848335,4.373333832178482e-05
108,0.021178512647747994,0.025043266639113427,0.0038647539913654327,0.024397628381848335,4.295493840312091e-05
109,0.020760686416178942,0.024379687011241914,0.003619000595062972,0.024379687011241914,4.2178276747988494e-05
110,0.020115439873188735,0.02616494968533516,0.0060495098121464246,0.024379687011241914,4.1403544986029554e-05
111,0.02115019904449582,0.02437470443546772,0.0032245053909718997,0.02437470443546772,4.063093427071381e-05
112,0.020914784632623196,0.02424214147031307,0.003327356837689876,0.02424214147031307,3.986063523217442e-05
113,0.02049407297745347,0.02402959205210209,0.003535519074648618,0.02402959205210209,3.9092837930172925e-05
114,0.02049936419352889,0.024999650940299035,0.004500286746770145,0.02402959205210209,3.832773180720476e-05
115,0.019822161039337517,0.025404592975974083,0.005582431936636566,0.02402959205210209,3.7565505641757296e-05
116,0.01958960243500769,0.024566424265503883,0.004976821830496192,0.02402959205210209,3.680634750173139e-05
117,0.020117153087630867,0.024098628759384157,0.00398147567175329,0.02402959205210209,3.6050444698038574e-05
118,0.019644965417683125,0.025672807916998865,0.00602784249931574,0.02402959205210209,3.5297983738384844e-05
119,0.020146076660603286,0.024517679959535597,0.004371603298932311,0.02402959205210209,3.454915028125268e-05
120,0.020406492333859206,0.023610441014170647,0.0032039486803114407,0.023610441014170647,3.380412909009256e-05
121,0.02011823793873191,0.02472204975783825,0.004603811819106341,0.023610441014170647,3.306310398773547e-05
122,0.02021916238591075,0.024357766658067704,0.004138604272156954,0.023610441014170647,3.232625781103718e-05
123,0.01973276538774371,0.02458615116775036,0.004853385780006648,0.023610441014170647,3.1593772365766146e-05
124,0.019899451360106468,0.025291217118501665,0.005391765758395197,0.023610441014170647,3.0865828381745554e-05
125,0.02027475447393954,0.02548637390136719,0.0052116194274276495,0.023610441014170647,3.0142605468260995e-05
126,0.019731943588703872,0.024243243038654327,0.004511299449950455,0.023610441014170647,2.9424282069744594e-05
127,0.019473103899508716,0.024429716542363165,0.004956612642854449,0.023610441014170647,2.87110354217464e-05
128,0.019806237379088997,0.024138520285487176,0.0043322829063981785,0.023610441014170647,2.8003041507204272e-05
129,0.019735993770882487,0.024711138755083083,0.004975144984200597,0.023610441014170647,2.7300475013022693e-05
130,0.01892887391149998,0.02473631352186203,0.00580743961036205,0.023610441014170647,2.660350928697137e-05
131,0.019185496820136906,0.024300867319107057,0.005115370498970151,0.023610441014170647,2.5912316294914256e-05
132,0.01914603030309081,0.023977457359433175,0.004831427056342364,0.023610441014170647,2.5227066578379644e-05
133,0.01872601401992142,0.024436106160283088,0.005710092140361667,0.023610441014170647,2.454792921248146e-05
134,0.018823439301922918,0.02461983971297741,0.005796400411054493,0.023610441014170647,2.3875071764202583e-05
135,0.019146379735320806,0.024300426244735718,0.005154046509414912,0.023610441014170647,2.320866025105018e-05
136,0.019083921704441308,0.02430579103529453,0.005221869330853224,0.023610441014170647,2.2548859100093427e-05
137,0.018689713953062893,0.02380111552774906,0.005111401574686168,0.023610441014170647,2.1895831107393487e-05
138,0.01879036338068545,0.024168265610933305,0.005377902230247856,0.023610441014170647,2.1249737397836094e-05
139,0.01883676932193339,0.02349269241094589,0.0046559230890125015,0.02349269241094589,2.0610737385376373e-05
140,0.01889385897666216,0.02391453757882118,0.005020678602159021,0.02349269241094589,1.9978988733705828e-05
141,0.019334888830780984,0.024207953363656998,0.004873064532876014,0.02349269241094589,1.935464731735119e-05
142,0.01883196164853871,0.024025676026940345,0.005193714378401635,0.02349269241094589,1.873786718321476e-05
143,0.019110453641042115,0.024378501623868943,0.005268047982826828,0.02349269241094589,1.812880051256553e-05
144,0.01859190547838807,0.023772384226322173,0.005180478747934102,0.02349269241094589,1.752759758349084e-05
145,0.01880339290946722,0.023708927631378173,0.004905534721910954,0.02349269241094589,1.693440673381743e-05
146,0.018120080744847656,0.02389809414744377,0.005778013402596115,0.02349269241094589,1.6349374324511345e-05
147,0.01801031706854701,0.024213525280356408,0.006203208211809398,0.02349269241094589,1.577264470356558e-05
148,0.019152720039710403,0.023616797104477883,0.00446407706476748,0.02349269241094589,1.52043601703843e-05
149,0.0186704333871603,0.023860349133610726,0.005189915746450426,0.02349269241094589,1.4644660940672642e-05
150,0.019101866520941257,0.023886482045054436,0.004784615524113179,0.02349269241094589,1.409368511184058e-05
151,0.018276102654635907,0.02351769357919693,0.005241590924561022,0.02349269241094589,1.3551568628929448e-05
152,0.018436726788058876,0.0238878034055233,0.005451076617464426,0.02349269241094589,1.3018445251069524e-05
153,0.018379715131595732,0.023814786598086356,0.0054350714664906236,0.02349269241094589,1.2494446518477033e-05
154,0.018386283470317722,0.023933709785342216,0.005547426315024494,0.02349269241094589,1.1979701719998467e-05
155,0.018315435340628027,0.02396104671061039,0.0056456113699823625,0.02349269241094589,1.1474337861210555e-05
156,0.01844451781362295,0.024400900676846506,0.005956382863223555,0.02349269241094589,1.0978479633083532e-05
157,0.018492371775209904,0.023948859795928,0.005456488020718096,0.02349269241094589,1.0492249381215489e-05
158,0.018330355128273367,0.023700369894504546,0.0053700147662311785,0.02349269241094589,1.001576707564548e-05
159,0.018850674899294973,0.02431723438203335,0.005466559482738376,0.02349269241094589,9.549150281252641e-06
160,0.018347989488393068,0.023845791071653365,0.005497801583260298,0.02349269241094589,9.092514128748843e-06
161,0.01767896516248584,0.023794671520590782,0.0061157063581049435,0.02349269241094589,8.645971286271922e-06
162,0.018520768079906703,0.023326410353183745,0.004805642273277042,0.023326410353183745,8.209631931586505e-06
163,0.017399821570143102,0.023498726636171342,0.00609890506602824,0.023326410353183745,7.783603724899264e-06
164,0.017928157234564424,0.023847798630595208,0.005919641396030784,0.023326410353183745,7.367991782295409e-06
165,0.017899825470522046,0.023998156189918518,0.006098330719396472,0.023326410353183745,6.962898649802818e-06
166,0.017986634327098728,0.023853973671793937,0.005867339344695209,0.023326410353183745,6.56842427809044e-06
167,0.01841108282096684,0.023800716176629065,0.005389633355662227,0.023326410353183745,6.184665997806826e-06
168,0.017849446134641768,0.023643555492162703,0.005794109357520935,0.023326410353183745,5.8117184955653314e-06
169,0.018365379702299834,0.02320244237780571,0.0048370626755058765,0.02320244237780571,5.449673790581615e-06
170,0.01802333244122565,0.02367459237575531,0.005651259934529661,0.02320244237780571,5.098621211969227e-06
171,0.01854934631846845,0.02348593734204769,0.00493659102357924,0.02320244237780571,4.758647376699036e-06
