timesteps,episode_reward,episode_length,success
34703,-144.1571612389829,200,0
34903,-105.7899494431863,200,0
35103,-80.15504392371749,200,0
35303,-84.48425530374557,200,0
35503,-108.14658195464185,200,0
35703,-96.20020695638944,200,0
35742,-13.493326936644353,39,1
35781,-9.16888800581,39,1
35981,-80.94681515413467,200,0
36181,-73.52201303459879,200,0
36381,-157.83084002649485,200,0
36416,-8.924494257971396,35,1
36616,-120.40908197652341,200,0
36816,-106.72985389465397,200,0
37016,-76.55176214402205,200,0
37216,-99.78675357475858,200,0
37416,-87.62376803951594,200,0
37616,-64.18960584588437,200,0
37792,-57.239378426163064,176,1
37992,-118.04181243739363,200,0
38192,-95.1513174141073,200,0
38392,-85.40193571015335,200,0
38592,-93.85638979555755,200,0
38792,-116.44169974459216,200,0
38992,-99.63808451917367,200,0
39192,-73.28445415635146,200,0
39392,-101.03674871933636,200,0
39592,-67.38088376692274,200,0
39792,-82.59764924946926,200,0
39992,-69.05660641514287,200,0
40192,-100.12755236957595,200,0
40392,-122.68709039540995,200,0
40592,-99.9213441255375,200,0
40792,-124.75427029485641,200,0
40992,-115.20555368918886,200,0
41192,-86.23755845773012,200,0
41392,-85.51294698374628,200,0
41592,-92.5338097517933,200,0
41792,-104.22443480138122,200,0
41992,-84.8165811937525,200,0
42192,-98.12141456561858,200,0
42392,-78.87239871919076,200,0
42527,-42.971304288164255,135,1
42727,-79.5038026355704,200,0
42927,-134.52146825621688,200,0
43127,-80.45897313918918,200,0
43327,-111.89473983363061,200,0
43527,-80.83091535516978,200,0
43727,-83.04425192618378,200,0
43927,-105.91007931598767,200,0
44127,-93.57389458285239,200,0
44327,-92.96622975508143,200,0
44527,-91.80687644756738,200,0
44727,-92.95098834406909,200,0
44927,-99.17580240249428,200,0
45118,-56.428002736745924,191,1
45318,-82.79418041636113,200,0
45518,-80.49213424618516,200,0
45718,-87.62276950004771,200,0
45918,-90.9038676810072,200,0
46118,-84.80503793569864,200,0
46318,-75.73949779637533,200,0
46518,-105.08769573064092,200,0
46718,-117.75593629062497,200,0
46918,-75.1838560233162,200,0
47118,-82.33021126611044,200,0
47318,-113.4519779338134,200,0
47518,-90.9253063374048,200,0
47718,-76.0155610551461,200,0
47918,-81.25485284780434,200,0
48050,-44.07458615982957,132,1
48095,-11.157362729189915,45,1
48295,-79.70616129262271,200,0
48495,-80.43969195189113,200,0
48695,-73.04721127948693,200,0
48895,-85.24143429240969,200,0
49095,-87.15901455462378,200,0
49295,-75.53154249287596,200,0
49495,-78.33529444997585,200,0
49695,-73.69193882117689,200,0
49895,-89.52837150605919,200,0
50095,-88.48222483808465,200,0
50295,-98.10878808234062,200,0
50495,-88.92950344086722,200,0
50695,-94.65807164667798,200,0
50895,-88.11700798547687,200,0
51095,-84.29417597911844,200,0
51295,-95.18376777315807,200,0
51495,-102.07584495904143,200,0
51695,-71.71595480512863,200,0
51895,-77.95008370717728,200,0
52095,-92.72467925714763,200,0
52295,-74.77513361845251,200,0
52495,-91.97340306344806,200,0
52695,-72.94223974353832,200,0
52895,-94.53858511881663,200,0
53095,-85.86772929388962,200,0
53295,-91.71869455050788,200,0
53439,-55.24856831689341,144,1
53639,-65.79958407352457,200,0
53839,-77.6067983711238,200,0
54039,-97.43551176800959,200,0
54239,-77.41340109678825,200,0
54282,-11.519563769587434,43,1
54482,-81.0203583597724,200,0
54682,-81.21044734146199,200,0
54882,-95.28731103565728,200,0
55082,-84.73152232269898,200,0
55282,-85.45878088196189,200,0
55482,-92.68433029456291,200,0
55682,-80.6467985145941,200,0
55882,-102.6340530485185,200,0
56082,-84.41379792474865,200,0
56282,-85.47829135103957,200,0
56482,-93.17707878191474,200,0
56682,-89.76591852166686,200,0
56882,-102.04890515661043,200,0
57082,-85.7524967944787,200,0
57282,-110.83424304877417,200,0
57482,-69.65136063003283,200,0
57682,-82.96616551954344,200,0
57882,-94.61674283949947,200,0
58082,-62.54776968006641,200,0
58282,-68.96387704073514,200,0
58482,-68.38611541285283,200,0
58682,-97.57158980142995,200,0
58882,-78.47256480242133,200,0
59082,-85.82668416235488,200,0
59282,-89.99778075044482,200,0
59482,-86.95265297419824,200,0
59682,-82.61786933928968,200,0
59882,-71.53105991217039,200,0
60082,-69.59631106930992,200,0
60282,-71.54892250569725,200,0
60482,-69.43880618421471,200,0
60682,-95.08961545852166,200,0
60727,-15.006040470701766,45,1
60927,-96.2980901690489,200,0
61127,-74.25358801839786,200,0
61236,-31.872165169948865,109,1
61436,-102.44130302862364,200,0
61636,-75.07165842050344,200,0
61836,-69.02357033820444,200,0
62036,-81.74213043011778,200,0
62236,-79.8184654572684,200,0
62436,-85.79308591275378,200,0
62636,-69.20875700251358,200,0
62836,-82.13034598402737,200,0
63036,-95.29631597097011,200,0
63236,-77.38144076125377,200,0
63436,-85.66835508550228,200,0
63636,-86.34038949911353,200,0
63836,-94.85199329157585,200,0
63874,-12.505021810752082,38,1
